"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Hyundai, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Hyundai, All Models, All Vehicle Years, #","Automobiles, Mercedes-Benz, All Models, All Vehicle Years, #","Automobiles, Subaru, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Light Trucks, All Makes, All Models, All Vehicle Years, #","Light Trucks, Chevrolet, All Models, All Vehicle Years, #","Light Trucks, Ford, All Models, All Vehicle Years, #","Light Trucks, Hyundai, All Models, All Vehicle Years, #","Light Trucks, Mercedes-Benz, All Models, All Vehicle Years, #","Light Trucks, Subaru, All Models, All Vehicle Years, #","Light Trucks, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #"
"01/2015",3584,559,560,67,27,33,291,1557,192,168,55,21,23,170,1425,361,375,12,6,10,121,167
"02/2015",3057,431,481,69,19,33,249,1280,154,147,55,14,20,159,1242,274,319,14,5,13,90,152
"03/2015",3721,580,568,75,35,38,257,1537,213,147,62,34,28,167,1465,366,403,13,1,10,90,320
"04/2015",3741,512,526,76,30,32,264,1489,190,143,63,24,25,166,1391,317,367,13,6,7,98,430
"05/2015",4333,610,619,78,33,30,299,1689,220,191,64,24,24,178,1582,382,406,14,9,6,121,575
"06/2015",4260,563,591,59,27,45,327,1639,223,170,43,19,34,204,1522,333,398,16,7,11,122,585
"07/2015",4628,641,598,80,27,41,346,1714,232,158,71,22,25,211,1723,407,418,9,5,16,135,666
"08/2015",4630,624,639,78,26,42,342,1728,222,195,66,18,29,182,1747,398,420,12,8,13,160,647
"09/2015",4380,566,651,86,24,39,290,1715,213,183,72,17,32,194,1611,346,448,14,7,7,96,560
"10/2015",4610,620,644,85,33,35,375,1849,245,195,66,21,21,231,1740,368,433,19,12,14,144,493
"11/2015",4212,581,634,82,38,27,378,1775,206,199,65,27,19,218,1694,372,415,17,11,8,160,269
"12/2015",4322,664,639,84,39,36,357,1846,244,218,68,31,28,210,1699,412,406,16,8,8,147,266
"01/2016",3483,501,516,85,35,42,285,1521,167,176,69,24,30,162,1391,330,314,16,11,12,123,160
"02/2016",3668,524,532,67,35,30,294,1587,202,174,55,27,23,177,1400,317,320,12,8,7,117,243
"03/2016",4065,569,557,84,26,31,345,1709,218,191,66,21,18,211,1557,345,342,18,4,13,134,346
"04/2016",4172,564,591,84,37,21,321,1649,186,170,68,28,13,195,1556,370,375,16,9,8,126,472
"05/2016",4580,633,606,83,27,35,340,1750,232,163,65,26,25,199,1677,387,413,18,1,10,141,634
"06/2016",4721,637,652,90,31,32,358,1809,230,182,71,26,22,207,1728,398,432,19,5,10,151,617
"07/2016",4583,627,614,93,35,32,340,1711,226,173,77,24,20,207,1694,392,405,15,10,12,133,653
"08/2016",4794,661,656,87,34,37,368,1812,236,185,71,23,24,218,1727,414,421,16,10,13,150,635
"09/2016",4758,613,648,84,32,39,366,1773,212,178,69,28,28,210,1751,392,439,14,4,11,155,630
"10/2016",4933,651,696,109,42,36,407,1978,241,208,92,32,24,241,1817,398,444,17,10,12,166,537
"11/2016",4570,608,668,99,34,56,365,1927,211,198,75,25,46,218,1778,386,435,24,9,10,147,344
"12/2016",4387,621,656,101,37,35,391,1853,215,182,79,28,19,239,1807,397,432,22,8,16,152,193
"01/2017",3988,580,564,98,57,25,355,1734,200,174,82,42,14,220,1590,375,364,16,15,11,135,195
"02/2017",3487,543,454,89,29,41,276,1467,191,150,67,27,32,172,1354,337,287,22,2,9,104,271
"03/2017",4183,566,611,109,29,52,324,1791,224,181,85,24,37,198,1583,333,387,24,5,15,126,328
"04/2017",4257,554,582,89,48,35,349,1718,195,213,73,32,25,219,1532,348,341,16,16,10,130,517
"05/2017",4523,622,590,104,41,32,373,1764,206,164,83,29,24,225,1661,403,386,21,12,8,146,537
"06/2017",4752,630,667,117,37,48,367,1804,234,188,92,27,34,218,1720,386,432,25,10,14,149,643
"07/2017",4980,663,683,117,43,31,338,1819,231,197,94,27,21,200,1831,416,436,23,15,10,137,724
"08/2017",4515,584,624,120,26,45,357,1744,219,194,95,21,31,220,1618,356,378,25,5,14,137,586
"09/2017",4874,589,625,96,39,35,410,1875,213,192,73,27,22,267,1703,358,380,23,12,13,143,652
"10/2017",4726,604,677,93,31,33,394,1809,214,190,80,23,21,232,1831,382,442,13,8,12,162,438
"11/2017",4441,597,680,110,37,47,428,1883,227,219,91,30,31,239,1758,360,418,19,7,16,189,283
"12/2017",4402,632,675,100,43,46,371,1873,232,198,77,29,36,211,1804,393,440,23,13,10,160,211
"01/2018",4056,578,599,115,46,37,370,1749,228,190,92,30,25,214,1609,343,360,23,16,12,156,202
"02/2018",3547,467,479,95,35,30,317,1446,164,133,74,28,21,186,1395,293,309,21,7,9,131,217
"03/2018",4084,604,607,135,33,35,337,1675,217,185,103,25,28,200,1624,377,376,31,8,7,137,287
"04/2018",3985,536,568,105,32,29,340,1644,189,186,82,18,15,215,1475,335,343,23,14,14,124,387
"05/2018",4598,567,608,105,40,40,370,1746,216,170,85,28,27,217,1643,340,383,20,12,13,152,583
"06/2018",4648,581,612,131,36,44,372,1669,197,179,96,32,28,213,1705,369,386,35,4,16,157,687
"07/2018",4610,615,626,88,42,53,356,1688,211,190,65,28,36,218,1696,392,369,22,14,17,138,637
"08/2018",4648,580,612,102,29,39,328,1693,206,169,85,22,23,196,1647,354,398,17,7,16,132,659
"09/2018",4600,635,632,113,27,36,363,1778,242,195,94,15,22,204,1670,383,393,19,11,14,158,572
"10/2018",4825,652,725,108,34,53,394,1846,227,218,73,25,31,222,1892,408,442,35,9,22,171,450
"11/2018",4164,574,595,105,36,32,402,1692,203,187,77,25,21,237,1691,362,375,28,11,11,164,240
"12/2018",4107,566,571,109,38,43,355,1717,211,171,86,28,24,196,1682,342,361,23,9,19,158,193
"01/2019",3875,550,558,97,37,49,347,1596,179,153,78,25,30,203,1587,360,369,18,12,19,144,147
"02/2019",3344,450,488,75,31,53,287,1391,166,158,56,21,31,174,1340,271,288,19,10,22,112,179
"03/2019",3959,549,541,94,42,40,329,1623,211,170,68,25,28,186,1482,324,324,26,16,12,143,340
"04/2019",4072,549,512,92,45,42,334,1538,187,154,65,31,15,185,1594,354,326,26,14,27,148,421
"05/2019",4487,581,601,108,57,41,380,1649,197,166,92,40,23,230,1663,369,382,16,17,18,150,593
"06/2019",4535,611,567,132,43,44,387,1622,209,156,100,26,29,210,1716,386,367,31,17,15,177,652
"07/2019",4592,562,619,100,34,45,389,1628,182,182,73,21,26,231,1672,361,378,27,13,19,158,666
"08/2019",4699,625,590,108,31,50,372,1700,216,145,85,22,26,220,1734,399,393,23,9,24,152,677
"09/2019",4674,603,631,123,32,55,330,1645,206,163,94,28,38,181,1730,377,410,29,3,17,149,619
"10/2019",4560,597,662,109,35,43,415,1767,194,195,79,23,27,243,1740,382,417,30,12,16,171,397
"11/2019",4339,611,620,125,48,48,395,1731,198,190,93,34,31,219,1790,400,379,32,14,17,176,247
"12/2019",4111,594,591,112,40,56,367,1696,169,171,89,33,34,216,1713,414,371,23,6,22,150,176
"01/2020",3760,528,541,95,39,39,364,1539,183,165,68,23,25,217,1552,338,328,27,15,14,147,165
"02/2020",3747,502,515,101,33,46,339,1596,177,165,82,23,25,196,1470,317,323,19,10,21,142,212
"03/2020",3548,477,463,85,37,35,295,1441,185,131,65,29,24,187,1330,282,296,20,8,11,108,326
"04/2020",3077,407,383,67,22,29,245,1198,127,122,57,18,21,143,1090,271,223,10,4,8,102,365
"05/2020",4267,564,562,77,34,34,325,1588,188,154,61,24,24,198,1581,370,354,16,9,10,127,551
"06/2020",5186,676,665,138,46,53,354,1878,214,220,105,30,37,203,1933,446,388,33,16,16,151,707
"07/2020",5251,653,636,123,62,43,398,1964,238,200,99,45,28,226,1860,395,387,24,17,15,172,740
"08/2020",5426,655,690,149,50,66,428,1991,215,223,109,25,48,243,1985,415,411,40,24,18,185,775
"09/2020",5230,657,673,131,40,58,352,1921,225,196,96,27,34,216,1883,406,425,35,13,24,136,703
"10/2020",5480,702,711,141,55,55,455,2037,242,208,107,39,27,246,2089,443,435,34,16,28,209,573
"11/2020",4784,639,634,121,55,38,408,1903,226,175,91,41,24,231,1872,397,408,30,14,14,177,385
"12/2020",4516,626,584,140,41,41,397,1826,207,167,102,34,25,220,1858,400,365,38,7,16,177,213



"Publisher:", "National Highway Traffic Safety Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
