"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Hyundai, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Hyundai, All Models, All Vehicle Years, #","Automobiles, Mercedes-Benz, All Models, All Vehicle Years, #","Automobiles, Subaru, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Light Trucks, All Makes, All Models, All Vehicle Years, #","Light Trucks, Chevrolet, All Models, All Vehicle Years, #","Light Trucks, Ford, All Models, All Vehicle Years, #","Light Trucks, Hyundai, All Models, All Vehicle Years, #","Light Trucks, Mercedes-Benz, All Models, All Vehicle Years, #","Light Trucks, Subaru, All Models, All Vehicle Years, #","Light Trucks, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #"
"01/1980",8668,1920,1794,,32,32,214,8600,1916,1784,,32,32,212,,,,,,,,
"02/1980",8194,1874,1560,,16,32,192,8126,1872,1556,,16,32,192,,,,,,,,
"03/1980",9070,2032,1768,,16,48,222,8994,2024,1758,,16,48,222,,,,,,,,
"04/1980",9452,1920,1806,,24,50,248,9358,1920,1792,,24,50,246,,,,,,,,
"05/1980",11248,2376,2042,,28,30,300,11146,2368,2034,,26,28,300,,,,,,,,
"06/1980",11972,2546,2168,,34,52,262,11860,2534,2156,,34,50,262,,,,,,,,
"07/1980",11902,2496,2074,,24,32,314,11788,2486,2062,,24,32,312,,,,,,,,
"08/1980",13202,2934,2246,,38,42,352,13070,2930,2222,,38,42,350,,,,,,,,
"09/1980",11112,2494,2004,,26,24,278,11004,2482,1990,,26,22,278,,,,,,,,
"10/1980",10898,2382,2050,,34,36,322,10790,2372,2040,,34,36,322,,,,,,,,
"11/1980",10608,2362,2050,,20,64,310,10534,2358,2046,,20,64,308,,,,,,,,
"12/1980",10644,2448,2040,,26,56,282,10586,2444,2032,,26,56,280,,,,,,,,
"01/1981",9080,2096,1756,,22,42,250,8888,2064,1732,,22,42,250,,,,,,,,
"02/1981",8682,1876,1672,,12,38,268,8556,1852,1654,,12,38,268,,,,,,,,
"03/1981",9312,2076,1786,,10,38,316,9174,2064,1766,,10,38,314,,,,,,,,
"04/1981",9872,2166,1772,,24,32,282,9708,2154,1752,,24,32,280,,,,,,,,
"05/1981",10690,2212,1908,,40,54,276,10528,2200,1892,,40,52,276,,,,,,,,
"06/1981",11108,2244,1860,,16,36,320,10904,2222,1840,,16,36,318,,,,,,,,
"07/1981",11952,2446,1998,,12,56,316,11728,2424,1982,,12,56,314,,,,,,,,
"08/1981",12442,2450,2190,,30,58,384,12218,2434,2170,,30,56,384,,,,,,,,
"09/1981",10852,2156,2006,,18,84,318,10660,2144,1984,,18,84,316,,,,,,,,
"10/1981",10900,2424,2008,,28,48,318,10734,2402,1994,,28,46,318,,,,,,,,
"11/1981",10162,2260,1928,,18,44,350,10008,2234,1906,,18,44,350,,,,,,,,
"12/1981",10346,2260,1974,,36,40,354,10222,2256,1956,,36,40,350,,,,,,,,
"01/1982",7652,1702,1412,,16,52,244,7542,1700,1412,,14,52,244,,,,,,,,
"02/1982",7282,1580,1254,,10,38,252,7202,1580,1254,,10,38,252,,,,,,,,
"03/1982",8612,1820,1550,,14,30,258,8514,1820,1550,,14,30,258,,,,,,,,
"04/1982",9158,1974,1562,,16,36,296,9080,1974,1562,,16,36,296,,,,,,,,
"05/1982",9886,2024,1612,,22,40,310,9776,2020,1612,,22,40,310,,,,,,,,
"06/1982",9872,2080,1690,,28,46,280,9750,2080,1690,,28,46,280,,,,,,,,
"07/1982",10698,2130,1798,,22,54,286,10532,2130,1798,,22,54,286,,,,,,,,
"08/1982",10696,2124,1888,,18,44,306,10554,2122,1886,,18,44,306,,,,,,,,
"09/1982",10006,2176,1702,,24,40,280,9892,2176,1702,,24,40,280,,,,,,,,
"10/1982",10364,2234,1868,,10,50,288,10242,2234,1868,,10,50,288,,,,,,,,
"11/1982",9114,1948,1592,,30,46,316,9006,1948,1590,,30,46,316,,,,,,,,
"12/1982",9570,2100,1728,,22,68,316,9454,2100,1728,,22,68,316,,,,,,,,
"01/1983",7440,1546,1436,,18,62,264,7346,1546,1434,,18,62,264,,,,,,,,
"02/1983",7056,1554,1308,,16,38,256,6966,1552,1306,,16,38,256,,,,,,,,
"03/1983",7848,1614,1514,,36,40,314,7758,1614,1514,,36,40,314,,,,,,,,
"04/1983",8428,1798,1530,,20,40,278,8304,1798,1530,,20,40,278,,,,,,,,
"05/1983",9382,1884,1614,,26,38,294,9282,1884,1608,,26,38,290,,,,,,,,
"06/1983",9546,1908,1688,,26,60,292,9460,1908,1686,,26,60,290,,,,,,,,
"07/1983",10548,2152,1816,,34,52,360,10380,2150,1814,,34,52,360,,,,,,,,
"08/1983",10620,2150,1804,,20,64,320,10498,2150,1802,,20,64,318,,,,,,,,
"09/1983",10282,2018,1730,,28,40,348,10140,2018,1730,,28,40,348,,,,,,,,
"10/1983",10244,2262,1704,,32,46,340,10106,2262,1704,,32,46,340,,,,,,,,
"11/1983",9386,1994,1742,,30,50,330,9262,1992,1740,,30,50,330,,,,,,,,
"12/1983",9432,1998,1598,,20,54,398,9314,1998,1596,,20,54,396,,,,,,,,
"01/1984",7586,1530,1450,,20,50,278,7498,1530,1450,,20,50,278,,,,,,,,
"02/1984",7416,1562,1292,,14,48,244,7362,1562,1292,,14,48,244,,,,,,,,
